drug-name	drug-type
氟化钠	A
单氟磷酸钠	A
奥拉氟	A
氟化亚锡	A
氟化钠，复方	A
过氧化氢	A
氯己定	A
两性霉素 B（庐山霉素）	A
聚诺昔林	A
多米芬	A
羟喹啉	A
新霉素	A
咪康唑	A
那他霉素	A
海克替啶	A
四环素	A
苯佐氯铵	A
替贝碘铵（碘硫苯卓铵）	A
美帕曲星	A
甲硝唑	A
克霉唑	A
过硼酸钠	A
金霉素	A
多西环素	A
米诺环素	A
曲安西龙	A
地塞米松	A
氢化可的松	A
泼尼松龙，复方	A
肾上腺素	A
苄达明	A
乙酰水杨酸	A
肾上腺酮	A
氨来呫诺	A
贝卡普勒明	A
碳酸镁	A
氧化镁	A
过氧化镁	A
氢氧化镁	A
硅酸镁	A
氢氧化铝	A
水合氢氧化铝	A
磷酸铝	A
碳酸二羟基铝钠	A
乙酰乙酸铝	A
谷氨醇铝	A
甘氨酸铝	A
碳酸钙	A
硅酸钙	A
普盐复方	A
镁加铝（氢氧化镁铝，水化铝酸镁）	A
铝镁加	A
铝碳酸镁	A
铝硅酸镁	A
镁加铝和排气药	A
普盐复方和排气药	A
西咪替丁（甲氰咪胍，甲腈咪胍，甲腈咪胺）	A
雷尼替丁	A
法莫替丁	A
尼扎替丁	A
尼培替丁	A
罗沙替丁	A
枸橼酸铋雷尼替丁	A
拉呋替丁	A
西咪替丁，复方	A
法莫替丁，复方	A
米索前列醇	A
恩前列素	A
奥美拉唑	A
泮托拉唑	A
兰索拉唑	A
雷贝拉唑	A
埃索美拉唑镁	A
奥美拉唑，阿莫西林和甲硝唑	A
兰索拉唑，四环素和甲硝唑	A
兰索拉唑，阿莫西林和甲硝唑	A
泮托拉唑，阿莫西林和克拉霉素	A
奥美拉唑，阿莫西林和克拉霉素	A
埃索美拉唑，阿莫西林和克拉霉素	A
兰索拉唑，阿莫西林和克拉霉素	A
甘珀酸（氢琥珀酸甘草次酸，生胃酮）	A
硫糖铝	A
哌仑西平	A
氯化甲基蛋氨酸锍盐（维生素U）	A
次枸橼酸铋	A
丙谷酰胺	A
吉法酯（合欢香叶酯）	A
硫糖肽	A
乙酰甘草亭酸铝	A
佐利米定	A
曲昔派特	A
次硝酸铋	A
海藻酸	A
甘珀酸，与非安定药的复方	A
甘珀酸，与安定药的复方	A
吉法酯，与安定药的复方	A
羟苄利明（羟苯环嘧）	A
卡米罗芬	A
美贝维林	A
曲美布汀	A
罗西维林	A
双环维林（双环胺）	A
双己维林	A
双苯美林	A
哌立度酯（二苯哌酯）	A
苯咯铵	A
格隆铵	A
奥芬铵	A
喷噻铵	A
丙胺太林	A
奥替溴铵	A
甲胺太林	A
曲地铵	A
异丙铵	A
己环铵	A
泊尔定	A
美喷酯	A
贝弗宁	A
哌喷酯	A
二苯马尼	A
(2-二苯甲氧乙基)二乙基甲基碘铵	A
替莫碘胺	A
吡芬溴铵	A
噻哌溴铵	A
苯维铵	A
奥芬溴铵，复方	A
二甲氨基丙基吩噻嗪	A
尼非他胺	A
苯酰胺桂胺	A
罂粟碱	A
屈他维林	A
莫沙维林	A
阿洛司琼	A
替加色罗	A
西兰司琼	A
芬哌丙烷	A
地索普明	A
氯苄沙明	A
匹维铵	A
非诺维林	A
依丹帕明	A
普罗沙唑	A
阿尔维林（乙双苯丙胺）	A
曲匹布通（舒胆通，胆灵）	A
异美汀（握克丁）	A
卡罗维林	A
间苯三酚	A
硅氧烷	A
三甲基二苯丙胺	A
阿尔维林复方	A
阿托品	A
莨菪碱（天仙子胺）	A
颠茄总生物碱	A
丁基莨菪胺	A
甲基阿托品	A
甲基莨菪胺	A
芬托铵	A
西托溴铵	A
异丙铵和精神抑制剂	A
克利铵和安定药	A
羟苄利明和安定药	A
奥替溴铵和安定药	A
格隆铵和精神抑制剂	A
贝弗宁和精神抑制剂	A
安布溴铵和精神抑制剂	A
二苯马尼和安定药	A
依美铵和精神抑制剂	A
丙胺太林和安定药	A
甲基莨菪胺和安定药	A
颠茄总生物碱和安定药	A
阿托品和安定药	A
甲基后阿托品和安定药	A
莨菪碱和安定药	A
托齐林和镇痛药	A
吡托非农和镇痛药	A
贝弗宁和镇痛药	A
环隆铵和镇痛药	A
卡米罗芬和镇痛药	A
曲司铵和镇痛药	A
替莫碘胺和镇痛药	A
丁基莨菪胺和镇痛药	A
甲氧氯普胺	A
西沙必利	A
多潘立酮（吗叮啉，胃得灵，氯哌酮）	A
溴必利	A
阿立必利	A
氯波必利	A
昂丹司琼	A
格拉司琼	A
托烷司琼	A
多拉司琼	A
帕洛诺司琼	A
莨菪胺	A
草酸铈	A
三氯叔丁醇	A
美托哌丙嗪	A
屈大麻酚	A
大麻隆	A
阿瑞吡坦	A
莨菪胺，复方	A
三氯叔丁醇，复方	A
鹅去氧胆酸	A
熊去氧胆酸	A
胆酸	A
羟甲烟胺	A
哌普唑林	A
羟甲香豆素	A
环丁酸醇	A
谷氨酸精氨酸	A
水飞蓟素（西利马林，奶蓟素）	A
西替沃酮	A
依泊二醇	A
氧代戊二酸瓜氨酸	A
噻二西酸精氨酸	A
甘草酸	A
液体石蜡	A
多库酯钠（磺琥辛酯钠）	A
液体石蜡，复方	A
双醋酚丁	A
比沙可啶	A
丹蒽醌	A
酚酞（非诺夫他林）	A
蓖麻油	A
番泻叶苷	A
波希鼠李皮	A
匹可硫酸钠（达可速发）	A
双酚沙丁	A
接触性轻泻药复方	A
带有颠茄生物碱的接触性轻泻药复方	A
比沙可啶，复方	A
丹蒽醌，复方	A
番泻叶苷，复方	A
波希鼠李皮，复方	A
匹可硫酸钠，复方	A
卵叶车前子	A
羟乙基纤维素乙基醚	A
梧桐子	A
亚麻子	A
甲基纤维素	A
小麦	A
聚卡波非钙	A
卵叶车前子，复方	A
梧桐子，复方	A
亚麻子，复方	A
硫酸镁	A
无机盐复方	A
乳果糖	A
拉克替醇	A
硫酸钠	A
季戊四醇	A
聚乙二醇	A
甘露醇	A
磷酸钠	A
山梨醇（山梨糖醇）	A
枸橼酸镁	A
酒石酸钠	A
乳果糖，复方	A
聚乙二醇，复方	A
丹蒽醌，含其复方	A
甘油	A
油	A
多库酯钠（磺琥辛酯钠），含其复方	A
硫酸月桂酯，含其复方	A
溴化甲基纳曲酮	A
爱维莫潘	A
产生二氧化碳的药	A
鲁比前列酮	A
利那洛肽	A
普卡必利	A
制霉素（制霉菌素）	A
链霉素	A
多粘菌素B	A
巴龙霉素	A
两性霉素B（庐山霉素）	A
卡那霉素	A
万古霉素	A
多粘菌素	A
利福昔明	A
非达霉素	A
新霉素复方	A
链霉素复方	A
酞磺胺噻唑	A
磺胺胍	A
琥珀磺胺噻唑	A
溴羟喹啉	A
乙酰胂胺（阿西塔胂）	A
硝呋齐特	A
硝呋肼	A
药用活性炭	A
药用活性炭，复方	A
果胶	A
高岭土	A
交聚维酮	A
活性白土	A
天然硅酸铝	A
活性白土，复方	A
地芬诺酯（苯乙哌啶）	A
阿片	A
洛哌丁胺	A
地芬诺辛	A
氧洛哌丁胺	A
吗啡复方	A
洛哌丁胺，复方	A
泼尼松龙	A
泼尼松（强的松，去氢可的松）	A
倍他米松	A
替可的松	A
布地奈德	A
倍氯米松	A
色甘酸	A
柳氮磺吡啶	A
美沙拉秦（5-氨基水杨酸）	A
奥沙拉秦	A
巴柳氮	A
产生乳酸的微生物	A
Boulardii酵母菌	A
产生乳酸的微生物，复方	A
鞣酸蛋白	A
长角豆	A
钙化合物	A
消旋卡多曲	A
鞣酸蛋白复方	A
芬特明（苯丁胺）	A
芬氟拉明（氟苯丙胺）	A
安非拉酮	A
右芬氟拉明	A
马吲哚（氯苯咪吲哚）	A
乙非他明	A
去甲伪麻黄碱	A
氯苄雷司	A
美芬雷司	A
西布曲明	A
盐酸氯卡色林	A
麻黄碱复方	A
奥利司他	A
利莫那班	A
淀粉酶	A
多酶(脂肪酶、蛋白酶等)	A
胃蛋白酶	A
半乳糖苷酶	A
谷氨酸盐酸盐	A
甜菜碱盐酸盐	A
盐酸	A
柠檬酸	A
胃蛋白酶和酸制剂	A
多酶和酸制剂	A
人胰岛素	A
牛胰岛素	A
猪胰岛素	A
赖脯胰岛素	A
门冬胰岛素	A
赖谷胰岛素	A
甘精胰岛素	A
地特胰岛素	A
苯乙双胍	A
二甲双胍	A
丁福明	A
格列本脲	A
氯磺丙脲	A
甲磺丁脲	A
格列波脲	A
妥拉磺脲	A
氨磺丁脲	A
格列吡嗪	A
格列喹酮	A
格列齐特	A
美他己脲	A
格列派特	A
格列美脲	A
醋酸己脲	A
格列嘧啶	A
苯乙双胍和磺胺类	A
二甲双胍和磺胺类	A
二甲双胍和罗格列酮	A
格列美脲和罗格列酮	A
二甲双胍和吡格列酮	A
格列美脲和吡格列酮	A
二甲双胍和西格列汀	A
二甲双胍和维格列汀	A
匹格列酮/西他列汀	A
甲福明（双甲胍、二甲双胍）/阿洛利停	A
二甲双胍/瑞格列奈	A
阿卡波糖	A
米格列醇	A
伏格列波糖	A
曲格列酮	A
罗格列酮	A
吡格列酮	A
西他列汀	A
维格列汀	A
沙格列汀	A
西他列汀/辛伐他汀	A
瓜耳树胶	A
瑞格列奈	A
那格列奈	A
艾塞那肽	A
普兰林肽	A
苯氟雷司	A
利拉鲁肽	A
米格列奈	A
利西拉来	A
托瑞司他	A
多种维生素和铁	A
多种维生素和钙	A
多种维生素和其它矿物质，含复方	A
多种维生素和微量元素	A
视黄醇（维生素A）	A
β-胡萝卜素	A
麦角骨化醇	A
双氢速甾醇	A
阿法骨化醇	A
骨化三醇	A
胆骨化醇	A
骨化二醇	A
硫胺（维生素B1）	A
舒布硫胺	A
苯磷硫胺	A
抗坏血酸（维生素C）	A
抗坏血酸（维生素C）和钙的复方	A
烟酰胺（维生素B3）	A
吡哆醇（维生素B6）	A
生育酚（维生素E）	A
核黄素（维生素B2）	A
生物素（维生素B7，维生素H）	A
磷酸吡哆醛	A
肌醇	A
托可索仑	A
右泛醇	A
泛酸钙	A
泛硫乙胺	A
磷酸钙	A
葡乳醛酸钙	A
葡萄糖酸钙	A
乳酸钙	A
葡乳糖酸钙	A
氯化钙	A
甘油磷酸钙	A
枸橼酸钙赖氨酸复合物	A
葡庚糖酸钙	A
