ID	Name	NormalizedName	Type	NormalizedCategory	
d246	注射用A群链球菌制剂(沙掊林)	A群链球菌制剂	western	nd21	#N/A
d247	BD头皮式留置针	BD头皮式留置针	western	nd22	#N/A
d248	百炎净片(CO-SMZ)	CO-SMZ	western	nd23	#N/A
d249	HC-A离体肾保存液	HC-A离体肾保存液	western	nd24	#N/A
d250	L-谷氨酰胺呱仑酸钠颗粒(麦滋林)	L-谷氨酰胺呱仑酸钠	western	nd25	#N/A
d251	麦滋林颗粒	L-谷氨酰胺呱仑酸钠	western	nd25	#N/A
d252	麦滋林颗粒(L-谷氨酰胺/薁磺)	L-谷氨酰胺呱仑酸钠	western	nd25	#N/A
d253	L-谷氨酰胺呱仑酸钠颗粒	L-谷氨酰胺呱仑酸钠	western	nd25	#N/A
d254	L-谷氨酰胺呱仑酸钠颗粒()	L-谷氨酰胺呱仑酸钠	western	nd25	#N/A
d255	阿苯达唑片(肠虫清)	阿苯达唑	western	nd26	#N/A
d256	阿苯达唑片(史克肠虫清)	阿苯达唑	western	nd26	#N/A
d257	阿苯达唑片	阿苯达唑	western	nd26	#N/A
d258	肠虫清片	阿苯达唑	western	nd26	#N/A
d259	阿德福韦酯片(代丁)	阿德福韦	western	nd27	#N/A
d260	阿德福韦酯片(贺维力)	阿德福韦	western	nd27	#N/A
d261	贺维力片(阿德福韦酯)	阿德福韦	western	nd27	#N/A
d262	阿法D3胶丸(阿法骨化醇)	阿法骨化醇	western	nd28	#N/A
d263	阿法骨化醇胶丸(阿法D3)	阿法骨化醇	western	nd28	#N/A
d264	阿法骨化醇软胶囊(阿法D3)	阿法骨化醇	western	nd28	#N/A
d265	阿法骨化醇软胶囊(阿法迪三)	阿法骨化醇	western	nd28	#N/A
d267	阿卡波糖片(拜唐苹)	阿法骨化醇	western	nd28	#N/A
d268	拜唐苹片(阿卡波糖)	阿卡波糖	western	nd29	#N/A
d269	拜唐苹片(阿卡波糖片)	阿卡波糖	western	nd29	#N/A
d270	阿卡波糖片(卡博平)	阿卡波糖	western	nd29	#N/A
d271	卡博平片(阿卡波糖片)	阿卡波糖	western	nd29	#N/A
d272	阿卡波糖胶囊	阿卡波糖	western	nd29	#N/A
d273	阿仑膦酸钠片(福善美)	阿仑膦酸钠	western	nd30	#N/A
d274	福善美(阿仑膦酸钠片)	阿仑膦酸钠	western	nd30	#N/A
d275	阿仑膦酸钠片(固邦)	阿仑膦酸钠	western	nd30	#N/A
d276	固邦(阿仑膦酸钠)片	阿仑膦酸钠	western	nd30	#N/A
d277	固邦片(阿仑膦酸钠)	阿仑膦酸钠	western	nd30	#N/A
d278	阿仑膦酸钠片(天可)	阿仑膦酸钠	western	nd30	#N/A
d281	阿米三嗪萝巴新片(都可喜)	阿米三嗪萝巴新	western	nd32	#N/A
d282	都可喜片	阿米三嗪萝巴新	western	nd32	#N/A
d283	阿莫西林干混悬剂(昆明)	阿莫西林	western	nd33	#N/A
d284	阿莫西林分散片(利莎林)	阿莫西林	western	nd33	#N/A
d285	阿莫西林分散片	阿莫西林	western	nd33	#N/A
d286	注射用阿莫西林钠氟氯西林	阿莫西林钠氟氯西林	western	nd34	#N/A
d287	阿莫西林钠克拉维酸钾针(5:1)(安灭菌)	阿莫西林钠克拉维酸钾	western	nd35	#N/A
d288	安灭菌针(阿莫西林克拉)	阿莫西林钠克拉维酸钾	western	nd35	#N/A
d289	安灭菌针(阿莫西林克拉维酸钾)	阿莫西林钠克拉维酸钾	western	nd35	#N/A
d290	注射用阿莫西林克拉维酸钾(安灭菌)	阿莫西林钠克拉维酸钾	western	nd35	#N/A
d291	注射用阿莫西林钠克拉维酸钾(安灭菌)	阿莫西林钠克拉维酸钾	western	nd35	#N/A
d292	阿莫西林克拉维酸钾混悬剂(孚美)	阿莫西林钠克拉维酸钾	western	nd35	#N/A
d293	阿莫西林克拉维酸钾颗粒(孚美)	阿莫西林钠克拉维酸钾	western	nd35	#N/A
d294	注射用阿莫西林钠克拉维酸钾	阿莫西林钠克拉维酸钾	western	nd35	#N/A
d295	阿莫西林钠舒巴坦钠针(2:1)(来切利)	阿莫西林钠舒巴坦钠	western	nd36	#N/A
d296	来切利(阿莫西林舒巴坦钠)	阿莫西林钠舒巴坦钠	western	nd36	#N/A
d297	注射用阿莫西林舒巴坦(来切利)	阿莫西林钠舒巴坦钠	western	nd36	#N/A
d298	阿莫西林双氯西林胶囊(澳广)	阿莫西林双氯西林	western	nd37	#N/A
d299	阿莫西林双氯西林钠胶囊(澳广)	阿莫西林双氯西林	western	nd37	#N/A
d300	澳广胶囊(阿莫西林双氯)	阿莫西林双氯西林	western	nd37	#N/A
d301	阿莫西林/双氯西林钠胶囊()	阿莫西林双氯西林	western	nd37	#N/A
d302	阿那曲唑片(瑞宁得)	阿那曲唑	western	nd38	#N/A
d303	瑞宁得(阿那曲唑片)	阿那曲唑	western	nd38	#N/A
d304	阿普唑仑片(佳乐定)	阿普唑仑	western	nd39	#N/A
d305	阿普唑仑片	阿普唑仑	western	nd39	#N/A
d306	阿奇霉素注射液(芙琦星)	阿奇霉素	western	nd40	#N/A
d307	阿奇霉素分散片(丽珠)	阿奇霉素	western	nd40	#N/A
d308	阿奇霉素分散片(丽珠奇乐)	阿奇霉素	western	nd40	#N/A
d309	丽珠奇乐(阿奇霉素分)	阿奇霉素	western	nd40	#N/A
d310	阿奇霉素干混悬剂(希舒美)	阿奇霉素	western	nd40	#N/A
d311	阿奇霉素片(希舒美)	阿奇霉素	western	nd40	#N/A
d312	希舒美片(阿奇霉素)	阿奇霉素	western	nd40	#N/A
d313	注射用阿奇霉素(希舒美)	阿奇霉素	western	nd40	#N/A
d314	阿奇霉素注射液	阿奇霉素	western	nd40	#N/A
d315	注射用阿奇霉素	阿奇霉素	western	nd40	#N/A
d316	希舒美片	阿奇霉素	western	nd40	#N/A
d317	盐酸阿柔比星针(ACR)	阿柔比星	western	nd41	#N/A
d318	阿司匹林泡腾片(巴米尔)	阿司匹林	western	nd42	#N/A
d319	阿司匹林肠溶片(拜阿司匹)	阿司匹林	western	nd42	#N/A
