v1	氯化
v2	化钠
v3	氯化钠
v4	注射
v5	注射液
v6	非
v7	双阀
v8	袋
v9	普通
v10	安徽
v11	丰原
v12	药业
v13	股份
v14	批准
v15	文号
v16	批准文号
v17	国药
v18	国药准字
v19	中
v20	包装
v21	数量
v22	瓶
v23	件
v24	装
v25	规格
v26	库存
v27	无
v28	生产
v29	厂家
v30	生产厂
v31	生产厂家
v32	优惠
v33	政策
v34	优惠政策
v35	暂无
v36	待
v37	血浆
v38	渗透
v39	浓度
v40	＜
v41	改用
v42	补液
v43	总量
v44	根据
v45	下列
v46	公式
v47	计算
v48	作为
v49	盒
v50	支
v51	水针
v52	针剂
v53	水针剂
v54	徐州
v55	莱恩
v56	西药
v57	容量
v58	大容量
v59	注
v60	条
v61	信息
v62	药品
v63	名称
v64	拼音
v65	音码
v66	拼音码
v67	单位
v68	产地
v69	零售
v70	售价
v71	零售价
v72	记录
v73	通用
v74	名
v75	药检
v76	报告
v77	生理
v78	盐水
v79	生理盐水
v80	玻瓶
v81	年
v82	月
v83	日
v84	葡萄
v85	葡萄糖
v86	塑瓶
v87	复方
v88	氯
v89	频道
v90	提供
v91	的
v92	价格
v93	以及
v94	说明
v95	说明书
v96	包括
v97	适应
v98	会员
v99	查看
v100	有限
v101	公司
v102	有限公司
v103	硝唑
v104	甲硝唑
v105	江西
v106	科伦
v107	项
v108	编号
v109	剂型
v110	生产商
v111	收藏
v112	烟酸
v113	占
v114	替诺
v115	用法
v116	用量
v117	静脉
v118	缓慢
v119	滴注
v120	时间
v121	不少
v122	于
v123	小时
v124	起始
v125	与
v126	由
v127	对比
v128	和
v129	购买
v130	等
v131	渗性
v132	失水
v133	原则
v134	给予
v135	渗
v136	溶液
v137	如
v138	或
v139	但
v140	上述
v141	玻
v142	紫光
v143	古汉
v144	衡阳
v145	制药
v146	玻璃
v147	玻璃瓶
v148	无为
v149	药厂
v150	单独
v151	大量
v152	使用
v153	可致
v154	高氯
v155	血症
v156	故可
v157	将
v158	碳酸
v159	碳酸氢
v160	碳酸氢钠
v161	上海
v162	甘油
v163	灌肠
v164	剂
v165	产品
v166	联系
v167	方式
v168	联系方式
v169	电话
v170	股份有限
v171	×
v172	计价
v173	华源
v174	长富
v175	集
v176	注射剂
v177	毫升
v178	克
v179	湖南
v180	康源
v181	望城
v182	妇幼
v183	序号
v184	实际
v185	进价
v186	元
v187	销售
v188	氯性
v189	中毒
v190	碱中毒
v191	林格氏液
v192	～
v193	金健
v194	明显
v195	高于
v196	品名
v197	产品名
v198	产品名称
v199	山西
v200	氨基
v201	氨基酸
v202	Ò
v203	©
v204	Æ
v205	·
v206	Í
v207	¨
v208	Ó
v209	Ã
v210	û
v211	³
v212	´
v213	ô
v214	Â
v215	ë
v216	½
v217	Ô
v218	º
v219	µ
v220	Ø
v221	Ç
v222	ø
v223	È
v224	«
v225	Ê
v226	¡
v227	²
v228	¿
v229	Ö
v230	±
v231	¤
v232	É
v233	Ð
v234	ê
v235	Þ
v236	Ï
v237	æ
v238	Ì
v239	¶
v240	»
v241	¯
v242	Ä
v243	¢
v244	ä
v245	£
v246	Á
v247	ü
v248	°
v249	Ù
v250	Ý
v251	í
v252	¼
v253	Ñ
v254	¹
v255	ã
v256	Ë
v257	¾
v258	¸
v259	ñ
v260	Î
v261	ª
v262	Å
v263	ú
v264	ó
v265	Ú
v266	Õ
v267	ð
v268	Ü
v269	­
v270	õ
v271	ß
v272	ò
v273	¬
v274	à
v275	À
v276	®
v277	÷
v278	ù
v279	§
v280	ý
v281	ç
v282	ö
v283	¥
v284	Û
v285	î
v286	¦
v287	ï
v288	å
v289	é
v290	á
v291	þ
v292	â
v293	è
v294	百特
v295	液体
v296	治疗
v297	领域
v298	历史
v299	基础
v300	输液
v301	特殊
v302	输液管
v303	路及
v304	肿瘤
v305	药物
v306	百
v307	特
v308	关注
v309	安全
v310	余年
v311	全球
v312	数亿
v313	万次
v314	人
v315	天津
v316	医疗
v317	北京
v318	双鹤
v319	％
v320	百特软
v321	袋装
v322	头孢
v323	唑
v324	肟
v325	这些
v326	药
v327	可以
v328	说
v329	在
v330	几元
v331	钱内
v332	…
v333	主要
v334	是
v335	看
v336	医院
v337	黑
v338	程度
v339	很
v340	贵
v341	太
v342	不住
v343	挡不住
v344	代
v345	询价
v346	用品
v347	针
v348	商品
v349	供应
v350	价
v351	要
v352	通
v353	用户
v354	回答
v355	注射用
v356	硝酸
v357	单硝酸
v358	异
v359	山梨
v360	酯
v361	加
v362	溶解
v363	并
v364	稀释
v365	后
v366	静脉滴注
v367	一
v368	具体
v369	遵
v370	医嘱
v371	奥扎
v372	格雷
v373	晴尔
v374	江苏
v375	鹏
v376	鹞
v377	青岛
v378	华仁
v379	甲
v380	类
v381	企业
v382	疾病
v383	寻医
v384	寻医问药
v385	药品网
v386	为
v387	您
v388	所有
v389	资料
v390	只作
v391	参考
v392	用途
v393	广州
v394	医药
v395	拥有
v396	最终
v397	解释
v398	权利
v399	成都
v400	青山
v401	利康
v402	奥
v403	乙烯
v404	氯乙烯
v405	聚氯乙烯
v406	塑料
v407	软袋
v408	双管
v409	国产
v410	四川
v411	云南
v412	世纪
v413	新世纪
v414	软
v415	甲类
v416	杭州
v417	民生
v418	责任
v419	有限责任
v420	各种
v421	原因
v422	所致
v423	低
v424	高
v425	酮症
v426	糖尿
v427	糖尿病
v428	昏迷
v429	应用
v430	纠正
v431	可纠正
v432	状态
v433	低氯性
v434	代谢
v435	代谢性
v436	①
v437	②
v438	③
v439	④
v440	⑤
v441	⑥
v442	膜
v443	双塞
v444	塑料瓶
v445	浙江
v446	天瑞
v447	若
v448	患者
v449	存在
v450	休克
v451	应
v452	先予
v453	酌情
v454	补充
v455	胶体
v456	使
v457	细胞
v458	外液
v459	钠
v460	迅速
v461	回升
v462	脑细胞
v463	损伤
v464	以后
v465	外
v466	液
v467	⑷
v468	林格液
v469	情况
v470	决定
v471	东莞
v472	普济
v473	机体
v474	内
v475	重要
v476	电解
v477	电解质
v478	对
v479	维持
v480	人体
v481	正常
v482	血液
v483	渗透压
v484	起着
v485	非常
v486	药店
v487	|
v488	新特
v489	平价
v490	升高
v491	过快
v492	下降
v493	水肿
v494	脑水肿
v495	郑州
v496	长沙
v497	西安
v498	苏州
v499	温州
v500	珠海
v501	厦门
v502	福州
v503	昆明
v504	济南
v505	大连
v506	药历
v507	网
v508	栏目
v509	详细
v510	了
v511	包含
v512	适应症
v513	不良
v514	反应
v515	不良反应
v516	东莞市
v517	【
v518	】
v519	处方
v520	方药
v521	处方药
v522	山东
v523	华鲁
v524	正品
v525	保证
v526	城市
v527	付款
v528	货到付款
v529	免费
v530	用药
v531	咨询
v532	立即
v533	订购
v534	大输
v535	大输液
v536	甲硝
v537	锉
v538	粒
v539	亚洲
v540	原
v541	中亚
v542	制药厂
v543	肠外
v544	营养
v545	合一
v546	鞍
v547	百特侨
v548	光
v549	汞溴红
v550	红药
v551	药水
v552	红药水
v553	广东
v554	艾
v555	希德
v556	氟康唑
v557	乳酸
v558	环丙沙星
v559	化钾
v560	氯化钾
v561	缓释
v562	缓释片
v563	补达秀
v564	片
v565	迈特
v566	兴华
v567	周围
v568	时
v569	成人
v570	一般
v571	每日
v572	速度
v573	盐酸
v574	左
v575	氧氟沙星
v576	以
v577	计
v578	过量
v579	福建
v580	福建省
v581	肝安
v582	侨光
v583	英特
v584	医保
v585	电子
v586	商务
v587	电子商务
v588	销售价
v589	转化
v590	糖
v591	扬子
v592	扬子江
v593	集团
v594	海
v595	百唯安
v596	基层
v597	县级
v598	齐
v599	控股
v600	分销
v601	中心
v602	年代
v603	进入
v604	中国
v605	建有
v606	四家
v607	各大
v608	设有
v609	办事
v610	办事处
v611	全国
v612	员工
v613	总数
v614	勃脉力
v615	佛山
v616	同时
v617	考虑
v618	替硝唑
v619	美大
v620	康佳
v621	乐
v622	总
v623	鹞药
v624	都
v625	宜兴
v626	济民
v627	双
v628	硫酸
v629	依替
v630	米星
v631	海南
v632	爱科
v633	奥美
v634	奥美拉唑
v635	胶囊
v636	可达
v637	比可达
v638	溶血
v639	率
v640	测定
v641	样品
v642	倍数
v643	小于
v644	→
v645	均
v646	不同
v647	济民制
v648	皮试
v649	氨苄
v650	西林
v651	氨苄西林
v652	限
v653	麻醉
v654	米
v655	非司
v656	酮
v657	药流
v658	仙
v659	产后
v660	逐瘀
v661	民济
v662	丙
v663	肠内
v664	粉剂
v665	安素
v666	进口
v667	国
v668	万隆
v669	八珍
v670	益母
v671	黄氏
v672	响声
v673	丸
v674	无锡
v675	可信
v676	山禾
v677	黄体
v678	黄体酮
v679	方强
v680	济民伍
v681	建军
v682	答
v683	菌素
v684	头孢菌素
v685	得
v686	／
v687	用
v688	吸取
v689	你好
v690	这是
v691	林
v692	那
v693	配制
v694	取
v695	瓶加
v696	至
v697	&
v698	推掉
v699	余
v700	皮内
v701	点击
v702	详情
v703	提问
v704	按
v705	头孢哌酮
v706	钠来
v707	安定
v708	济川
v709	终生
v710	不会
v711	忘记
v712	教训
v713	喘定
v714	不要
v715	二
v716	羟丙
v717	茶碱
v718	名济民克定
v719	特性
v720	化学
v721	化学药品
v722	四平
v723	巨能
v724	成药
v725	金水
v726	宝
v727	金嗓开音
v728	浓
v729	常州
v730	康普
v731	尼松
v732	新时
v733	纳斯达欣
v734	吡嗪
v735	酰胺
v736	四环
v737	生物
v738	丙酸
v739	睾酮
v740	十三
v741	江苏省
v742	微生
v743	微生物
v744	研究
v745	研究所
v746	就
v747	专利
v748	侵权
v749	纠纷
v750	提交
v751	到
v752	京市
v753	北京市
v754	个股
v755	公告
v756	正文
v757	行情
v758	股票
v759	金融
v760	金融界
v761	万
v762	恒瑞
v763	恒瑞医药
v764	康缘
v765	鲑鱼
v766	降钙素
v767	诺华
v768	仙居
v769	酚磺
v770	乙胺
v771	乙
v772	酚麻
v773	美敏片
v774	泰诺
v775	维拉
v776	帕米片
v777	莎
v778	普爱思制
v779	扬州
v780	中宝
v781	有
v782	制
v783	组
v784	模型
v785	接种
v786	前
v787	天
v788	腹腔
v789	磷酰
v790	环磷酰胺
v791	通过
v792	鼻腔
v793	吸入
v794	烟
v795	曲霉
v796	霉菌
v797	曲霉菌
v798	孢子
