d1	0.9%氯化钠注射液(安徽丰)
d2	0.9%氯化钠注射液(安徽丰原100)
d3	0.9%氯化钠注射液(安徽丰原250)
d4	0.9%氯化钠注射液(安徽丰原500)
d5	0.9%氯化钠针(N.S)(百特)
d6	0.9%氯化钠针(百特)
d7	0.9%氯化钠注射液(百特)
d8	0.9%氯化钠针(成都青山)
d9	0.9%氯化钠注射液(外)(东莞500)
d10	0.9%氯化钠注射液(广州百特250)
d11	0.9%氯化钠注射液(广州百特500)
d12	0.9%氯化钠针(N.S)(济民)
d13	0.9%氯化钠针(N.S)(江苏四环)
d14	0.9%氯化钠注射液(江苏四环)
d15	0.9%氯化钠针(科伦100)
d16	0.9%氯化钠针(科伦250)
d17	0.9%氯化钠针(科伦500)
d18	0.9%氯化钠针(普济/玻瓶)
d19	0.9%氯化钠注射液(青岛华)
d20	0.9%氯化钠注射液(青岛华仁)
d21	0.9%氯化钠注射液(青岛华仁100)
d22	0.9%氯化钠注射液(青岛华仁250)
d23	0.9%氯化钠注射液(青岛华仁500)
d24	0.9%氯化钠针(上海百特100)
d25	0.9%氯化钠针(N.S)(石家庄)
d26	0.9%氯化钠注射液(石家庄100)
d27	0.9%氯化钠注射液(石家庄250)
d28	0.9%氯化钠注射液(石家庄500)
d29	0.9%氯化钠针(N.S)(四川)
d30	0.9%氯化钠针(N.S)(四川科伦)
d31	0.9%氯化钠注射液(四药500)
d32	0.9%氯化钠针(N.S)(浙江)
d33	0.9%氯化钠针(浙江济民)
d34	0.9%氯化钠针(1000ml)
d35	0.9%氯化钠针(1000ml)B
d36	0.9%氯化钠针(N.S)
d37	0.9%氯化钠针(N.S)(玻璃瓶)(东莞)
d38	0.9%氯化钠针(外)(东莞2
d39	0.9%氯化钠针(外)(东莞5
d40	0.9%氯化钠注射液
d41	0.9％氯化钠注射液
d42	0.9%氯化钠注射液(100ml)
d43	0.9%氯化钠注射液(100ml)A
d44	0.9%氯化钠注射液(100ml)B
d45	0.9%氯化钠注射液(100ml)C
d46	0.9%氯化钠注射液(100ml)D
d47	0.9%氯化钠注射液(2000ml)B
d48	0.9%氯化钠注射液(250ml)
d49	0.9%氯化钠注射液(250ml)A
d50	0.9%氯化钠注射液(250ml)B
d51	0.9%氯化钠注射液(250ml)C
d52	0.9%氯化钠注射液(250ml)D
d53	0.9%氯化钠注射液(3000ml)
d54	0.9%氯化钠注射液(500ml)
d55	0.9%氯化钠注射液(500ml)A
d56	0.9%氯化钠注射液(500ml)B
d57	0.9%氯化钠注射液(500ml)C
d58	0.9%氯化钠注射液(500ml)D
d59	0.9%氯化钠注射液(N.S)(玻璃瓶)
d60	0.9%氯化钠注射液(N.S)(玻璃瓶)(东莞)
d61	1.5%腹膜透析液(双联)
d62	1.5%低钙葡萄糖腹膜透析液针(乳酸盐)
d63	1.5%葡萄糖腹膜透析液针(乳酸盐)
d64	10%硫磺霜
d65	10%氯化钾口服溶液(KCL)
d66	10%氯化钾口服液(KCL)
d67	10%氯化钾溶液
d68	10%氯化钾针(KCL)
d69	10%氯化钾注射液
d70	10%浓氯化钠针
d71	10%浓氯化钠注射液
d72	10%葡萄糖注射液(安徽丰原100)
d73	10%葡萄糖注射液(安徽丰原250)
d74	10%葡萄糖注射液(安徽丰原500)
d75	10%葡萄糖注射液(安徽双鹤)
d76	10%葡萄糖针(G.S)(百特)
d77	10%葡萄糖针(G.S)(江苏四环)
d78	10%葡萄糖注射液(江苏四环)
d79	10%葡萄糖针(科伦100)
d80	10%葡萄糖针(科伦250)
d81	10%葡萄糖针(科伦500)
d82	10%葡萄糖注射液(青岛华仁)
d83	10%葡萄糖注射液(青岛华仁100)
d84	10%葡萄糖注射液(青岛华仁250)
d85	10%葡萄糖注射液(青岛华仁500)
d86	10%葡萄糖针(上海百特100)
d87	10%葡萄糖针(上海百特250)
d88	10%葡萄糖针(上海百特500)
d89	10%葡萄糖针(G.S)(石家庄)
d90	10%葡萄糖注射液(石家庄100)
d91	10%葡萄糖注射液(石家庄250)
d92	10%葡萄糖注射液(石家庄500)
d93	10%葡萄糖针(G.S)(四川)
d94	10%葡萄糖针(G.S)(四川科伦)
d95	10%葡萄糖注射液(G.S)(四川科伦)
d96	10%葡萄糖注射液(四药500)
d97	10%葡萄糖针(G.S)(浙江)
d98	10%葡萄糖针(浙江济民)
d99	10%葡萄糖注射液(100ml)
d100	10%葡萄糖注射液(100ml)A
d101	10%葡萄糖注射液(100ml)B
d102	10%葡萄糖注射液(100ml)C
d103	10%葡萄糖注射液(100ml)D
d104	10%葡萄糖注射液(250ml)
d105	10%葡萄糖注射液(250ml)A
d106	10%葡萄糖注射液(250ml)B
d107	10%葡萄糖注射液(250ml)C
d108	10%葡萄糖注射液(250ml)D
d109	10%葡萄糖注射液(500ml)
d110	10%葡萄糖注射液(500ml)A
d111	10%葡萄糖注射液(500ml)B
d112	10%葡萄糖注射液(500ml)C
d113	10%葡萄糖注射液(500ml)D
d114	10%葡萄糖酸钙针
d115	10%葡萄糖酸钙注射液
d116	10%水合氯醛
d117	10%脂肪乳针(华瑞)
d118	10%脂肪乳针
d119	2%碘酊
d120	2%汞溴红溶液(红汞水)
d121	低钙腹膜透析液(乳酸盐-G1.5%)
d122	低钙腹膜透析液(乳酸盐-G2.5%)
d123	2.5%低钙葡萄糖腹膜透析液针(乳酸盐)
d124	2.5%葡萄糖腹膜透析液针(乳酸盐)
d125	20%丙氨酰谷氨酰胺针(力太)
d126	20%甘露醇针(百特)
d127	20%甘露醇针
d128	20%葡萄糖针(G.S)(百特)
d129	20%葡萄糖针
d130	20%葡萄糖针(G.S)
